mouse_group,task,region,n_total,class_counts,balanced_acc,auc,min_class_n,p_bal,p_auc,null_bal_mean,null_bal_std,null_auc_mean,null_auc_std
ALL,HC_hit_vs_miss,ALL_REGIONS_COMBINED,1060,"{0.0: 192, 1.0: 868}",0.7049304295220811,0.7584694494857833,192,0.009900990099009901,0.009900990099009901,0.4992422867513611,0.044717211829997695,0.5009407138535995,0.054219339503809215
ALL,LC_noreport_vs_corr_rej,M1,546,"{0.0: 327, 1.0: 219}",0.6098484848484849,0.6408402203856749,219,0.039603960396039604,0.039603960396039604,0.5080303030303032,0.045954572930084,0.5027238292011019,0.060948917021837454
ALL,LC_noreport_vs_corr_rej,V1,546,"{0.0: 327, 1.0: 219}",0.5871212121212122,0.6618457300275482,219,0.07920792079207921,0.009900990099009901,0.5044318181818183,0.04746819714911969,0.5069524793388429,0.05129360107091301
ALL,LC_noreport_vs_corr_rej,VISa,546,"{0.0: 327, 1.0: 219}",0.5075757575757576,0.5506198347107437,219,0.45544554455445546,0.2079207920792079,0.5015151515151515,0.04276110845960631,0.5075723140495869,0.05597632639037343
ALL,LC_noreport_vs_corr_rej,VISam,546,"{0.0: 327, 1.0: 219}",0.553030303030303,0.5926308539944904,219,0.12871287128712872,0.04950495049504951,0.5004545454545454,0.043536818274358825,0.4951997245179063,0.053578032064336555
ALL,LC_noreport_vs_corr_rej,VISpm,546,"{0.0: 327, 1.0: 219}",0.5113636363636364,0.5726584022038568,219,0.48514851485148514,0.0891089108910891,0.5027272727272727,0.04948100710655711,0.5050757575757576,0.05317499356871773
ALL,LC_noreport_vs_corr_rej,ALL_REGIONS_COMBINED,546,"{0.0: 327, 1.0: 219}",0.5909090909090908,0.6029614325068872,219,0.0297029702970297,0.04950495049504951,0.49916666666666665,0.045544670752746964,0.5016287878787878,0.059434959550767524
ALL,HC_noreport_vs_incorr_rej,M1,1434,"{0.0: 1242, 1.0: 192}",0.6390826463749736,0.7316634960896217,192,0.009900990099009901,0.009900990099009901,0.504003381948848,0.04184556972253092,0.5034707250052842,0.04984667162676394
ALL,HC_noreport_vs_incorr_rej,V1,1434,"{0.0: 1242, 1.0: 192}",0.5411646586345382,0.5270555907841894,192,0.19801980198019803,0.3465346534653465,0.5026828366095962,0.0404691284992649,0.5027795392094695,0.04692520079856386
ALL,HC_noreport_vs_incorr_rej,VISa,1434,"{0.0: 1242, 1.0: 192}",0.5057070386810399,0.5076093849080533,192,0.48514851485148514,0.5643564356435643,0.5013649334178821,0.041976460450928336,0.5058856478545761,0.04925329199103386
ALL,HC_noreport_vs_incorr_rej,VISam,1434,"{0.0: 1242, 1.0: 192}",0.49497991967871485,0.5380469245402663,192,0.5742574257425742,0.22772277227722773,0.5007355738744451,0.04172278727766372,0.4977129570915239,0.04942476754230262
ALL,HC_noreport_vs_incorr_rej,VISpm,1434,"{0.0: 1242, 1.0: 192}",0.5514161910801099,0.5657366307334601,192,0.15841584158415842,0.1485148514851485,0.5053936799830903,0.040701930959824335,0.5047516381314733,0.05032717558509786
